INSTRUMENT_CODE,EXCHANGE
3MINDIA,NSE
ABB,NSE
BAJAJ-AUTO,NSE
AIAENG,NSE
APLAPOLLO,NSE
ASTERDM,NSE
AWL,NSE
BAJAJ-AUTO,NSE
BALKRISIND,NSE
BDL,NSE
BEML,NSE
BERGEPAINT,NSE
BHARTIARTL,NSE
BIOCON,NSE
BLUESTARCO,NSE
BOROLTD,NSE
BRITANNIA,NSE
CAMS,NSE
CDSL,NSE
CERA,NSE
CHAMBLFERT,NSE
COALINDIA,NSE
CRAFTSMAN,NSE
CRISIL,NSE
CUB,NSE
DEEPAKNTR,NSE
DELTACORP,NSE
DIVISLAB,NSE
DRREDDY,NSE
ECLERX,NSE
EIDPARRY,NSE
ELGIEQUIP,NSE
FINEORG,NSE
GAIL,NSE
GHCL,NSE
GILLETTE,NSE
GLENMARK,NSE
GRASIM,NSE
HAL,NSE
HCLTECH,NSE
HDFCAMC,NSE
HDFCBANK,NSE
HINDALCO,NSE
ICICIBANK,NSE
IDFCFIRSTB,NSE
IEX,NSE
INDUSINDBK,NSE
INFY,NSE
INGERRAND,NSE
IRCON,NSE
IRCTC,NSE
ITC,NSE
JAMNAAUTO,NSE
JBCHEPHARM,NSE
JKLAKSHMI,NSE
JYOTHYLAB,NSE
KEC,NSE
KEI,NSE
KOTAKBANK,NSE
KPITTECH,NSE
LAURUSLABS,NSE
LT,NSE
LTTS,NSE
LUXIND,NSE
M&M,NSE
M&MFIN,NSE
MANAPPURAM,NSE
MARUTI,NSE
MASTEK,NSE
MAXHEALTH,NSE
LTIM,NSE
MOLDTKPAC,NSE
MOTHERSON,NSE
MOTILALOFS,NSE
MPHASIS,NSE
MRF,NSE
MUTHOOTFIN,NSE
NAM-INDIA,NSE
NATCOPHARM,NSE
NATIONALUM,NSE
NESTLEIND,NSE
NIITLTD,NSE
NIITMTS,NSE
OFSS,NSE
ORIENTELEC,NSE
PAGEIND,NSE
PERSISTENT,NSE
PETRONET,NSE
PFC,NSE
PIDILITIND,NSE
PIIND,NSE
POWERGRID,NSE
PRAJIND,NSE
PVRINOX,NSE
RAJRATAN,NSE
RELIANCE,NSE
RHIM,NSE
RITES,NSE
ROLEXRINGS,NSE
SBICARD,NSE
SBILIFE,NSE
SBIN,NSE
SCHAEFFLER,NSE
SIEMENS,NSE
SKFINDIA,NSE
SPLPETRO,NSE
SRF,NSE
SUMICHEM,NSE
TANLA,NSE
TATAELXSI,NSE
TATAPOWER,NSE
TATASTEEL,NSE
TATAMOTORS,NSE
TCS,NSE
TECHM,NSE
THANGAMAYL,NSE
TIINDIA,NSE
TITAN,NSE
TORNTPOWER,NSE
TRITURBINE,NSE
UTIAMC,NSE
VAIBHAVGBL,NSE
VBL,NSE
VGUARD,NSE
WIPRO,NSE
