exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,protected,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,CERA,3849985,10566.04,9982.4,8557,12800,8557,12800,3,10,12000,No,4,42264.16,39929.6,-2334.56,-5.52,-14.28,Holding,0,0,success,16-08-2024 09:15,177,#E7A8B2,1,2,40000
NSE,VBL,4843777,1553,1438.85,1170,2000,2000,1867.8,3,10,1640,No,26,40378,37410.1,-2967.9,-7.35,2.7,Buy,1373,1507,success,16-08-2024 09:15,177,#AB9EFF,1,2,40000
NSE,PIIND,6191105,4192,4347.85,3150,5400,3420,6000,3,10,4800,No,14,58688,60869.9,2181.9,3.72,-21.34,Holding,0,0,success,16-08-2024 09:15,177,#B7D793,1,2,40000
NSE,TALBROAUTO,3493889,355,342.3,326,437,326,437,3,10,400,No,169,59995,57848.7,-2146.3,-3.58,-4.76,Holding,0,0,success,16-08-2024 09:15,177,#E7A8B2,1,2,40000
NSE,TALBROAUTO,3493889,272,342.3,249,345,249,345,3,10,400,No,193,52496,66063.9,13567.9,25.85,21.12,Archive,270,999999,success,16-08-2024 09:15,177,#AB9EFF,1,2,40000
NSE,DPWIRES,4326401,476.23,405.45,383,670,383,670,3,10,553,No,126,60004.98,51086.7,-8918.28,-14.86,-5.54,Holding,0,0,success,16-08-2024 09:15,177,#E7A8B2,1,2,40000
NSE,PEL,617473,992.74,887.7,890,1630,890,1630,3,10,1380,No,59,58571.66,52374.3,-6197.36,-10.58,20.02,Ignore,710,1080,success,16-08-2024 09:15,177,#AB9EFF,1,4,40000
NSE,TECHM,3465729,1315,1550.55,1149,1836,1149,1836,3,10,1650,No,41,53915,63572.55,9657.55,17.91,18.74,Archive,1260,99999,success,16-08-2024 09:15,177,#AB9EFF,1,3,40000
NSE,CUB,1459457,172.32,162.89,107,250,107,250,3,10,200,No,394,67894.08,64178.66,-3715.42,-5.47,18.96,Archive,132,99999,success,16-08-2024 09:15,177,#AB9EFF,1,3,40000
NSE,CUB,1459457,172.32,162.89,97,250,97,250,3,10,200,No,430,74097.6,70042.7,-4054.9,-5.47,25.72,Archive,121,99999,success,16-08-2024 09:15,177,#AB9EFF,1,3,40000
