exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,NIITLTD,2949633,161.31,122.6,116.6,148.7,116.6,148.7,5.45,20.45,141.65,140,22583.4,17164,-5419.4,-23.99727233,-4.89,Holding,0,0,success,29-09-2023 15:40,42,#E7A8B2,1,1,0
NSE,NIITMTS,4543233,214.62,421.9,344.9,500,386.3,541.4,13.9,22.75,421.55,140,30046.8,59066,29019.2,96.58000186,-8.44,Holding,0,0,success,29-09-2023 15:40,42,#B7D793,1,1,0
NSE,MASTEK,543745,2191,2399.5,2199,3234,2199,3234,7.7,36.05,2485,23,50393,55188.5,4795.5,9.516202647,-8.36,Holding,0,0,success,29-09-2023 15:40,42,#B7D793,1,1,0
NSE,FINEORG,958465,6363.53,4795.1,4419,7081,4419,7081,11.65,43.6,5220,10,63635.3,47951,-15684.3,-24.6471691,-7.84,Holding,0,0,success,29-09-2023 15:40,42,#E7A8B2,1,1,0
NSE,FINEORG,958465,7227.7,4795.1,4419,7081,4419,7081,11.65,43.6,5220,2,14455.4,9590.2,-4865.2,-33.65662659,-7.84,Holding,0,0,success,29-09-2023 15:40,42,#E7A8B2,1,1,0
NSE,TATAELXSI,873217,8605,7227.15,6868.5,7891.1,6868.5,7891.1,5.8,8.35,7490,10,86050,72271.5,-13778.5,-16.01220221,-4.96,Holding,0,0,success,29-09-2023 15:40,42,#E7A8B2,1,1,0
NSE,WONDERLA,768513,663.1,723.65,695,800,695,868.25,6.35,19.25,740,94,62331.4,68023.1,5691.7,9.131352737,-3.96,Holding,0,0,success,29-09-2023 15:40,42,#B7D793,1,1,0
NSE,ACCELYA,1805569,1580.92,1630.75,1441.5,2237.55,1441.5,2237.55,8.85,37.75,1820,40,63236.8,65230,1993.2,3.151962149,-11.61,Holding,0,0,success,29-09-2023 15:40,42,#B7D793,1,1,0
NSE,AHLUCONT,4565249,714,703.55,683.5,826,683.5,826,3.65,13.95,771,0,59976,59098.2,-877.8,-1.463585434,0.63,Buy,706.35,735,success,29-09-2023 15:40,42,#AB9EFF,1,1,60000
NSE,LAURUSLABS,4923905,367,395.4,353,438,353,438,3.6,18.15,413,0,59821,64450.2,4629.2,7.738419619,-7.18,Buy,367,0,success,29-09-2023 15:40,42,#AB9EFF,1,1,60000
NSE,BORORENEW,806145,455,428.75,372.5,750,372.5,750,9.3,18.65,570,0,60515,57023.75,-3491.25,-5.769230769,4.72,Buy,422,449,success,29-09-2023 15:40,42,#AB9EFF,1,1,60000
NSE,HDFCBANK,341249,1545.1,1526.3,1509,1660,1509,1660,2.65,5.25,1596,0,58713.8,57999.4,-714.4,-1.216749725,1.23,Buy,1518,1542,success,29-09-2023 15:40,42,#AB9EFF,1,1.5,60000
NSE,SUNTV,3431425,630,612.15,575,930,575,930,3.5,10,690,0,59850,58154.25,-1695.75,-2.833333333,3.08,Buy,582,631,success,29-09-2023 15:40,42,#AB9EFF,1,1,60000
