exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,BORORENEW,806145,431.36,413.45,369.15,750,389.48,750,9.3,18.65,550,139,59959.04,57469.55,-2489.49,-4.15,-5.8,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,1,2,0
NSE,BHARTIARTL,2714625,499.36,984.9,810,1100,810,1100,13,20,1050,103,51434.08,101444.7,50010.62,97.23,11.69,Holding,0,0,success,28-11-2023 21:02,0,#B7D793,1,1.5,0
NSE,OFSS,2748929,3628.87,4025.9,3720,4890,3720,4890,11,20,4525,23,83464.01,92595.7,9131.69,10.94,-7.6,Holding,0,0,success,28-11-2023 21:02,0,#B7D793,1,1.5,0
NSE,TATAMOTORS,884737,674.69,697.5,582,800,582,800,8.5,25,800,104,70167.76,72540,2372.24,3.38,14.7,Holding,0,0,success,28-11-2023 21:02,0,#B7D793,1,2,0
NSE,EIDPARRY,234497,476.72,535.05,428,550,521.04,651.3,4,20,540,143,68170.96,76512.15,8341.19,12.24,15.15,Buy,454,0,success,28-11-2023 21:02,0,#AB9EFF,1,2,65000
NSE,VBL,4843777,917.34,1059.95,825,1046,1008,1155.99,4,10,1100,65,59627.1,68896.75,9269.65,15.55,-4.9,Holding,0,0,success,28-11-2023 21:02,0,#099346,1,2,0
NSE,ASTERDM,386049,343.5,332.65,289,440,289,440,11,20,370,175,60112.5,58213.75,-1898.75,-3.16,-13.12,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,1,2,0
NSE,ECLERX,3885825,2507.46,2491.05,2298,2750,2298,2750,5,20,2790,26,65193.96,64767.3,-426.66,-0.65,-7.75,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,1,2,65000
NSE,TALBROAUTO-BE,3493889,259.76,303.95,174,310,287,355.92,5,20,380,231,60004.56,70212.45,10207.89,17.01,-5.58,Holding,0,0,success,28-11-2023 21:02,0,#B7D793,0,0,0
NSE,PETRONET,2905857,200.45,196.35,188,269,188,269,5,20,225,299,59934.55,58708.65,-1225.9,-2.05,-4.25,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,3,3,0
NSE,NATCOPHARM,1003009,778.95,774.05,720,910,720,910,4,10,827,25,19473.75,19351.25,-122.5,-0.63,-6.98,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,1,2,0
NSE,SBICARD,4600577,697,733.75,648,800,648,800,4.7,10,795,91,63427,66771.25,3344.25,5.27,2.96,Buy,712,0,success,28-11-2023 21:02,0,#AB9EFF,1,3,65000
NSE,PRAJIND,692481,552.47,621.6,497.8,660,598,683.65,3,10,660,124,68506.28,77078.4,8572.12,12.51,-3.8,Holding,0,0,success,28-11-2023 21:02,0,#B7D793,1,2,65000
NSE,PETRONET,2905857,180,196.35,160,269,160,269,5,20,204,361,64980,70882.35,5902.35,9.08,8.33,Buy,180,0,success,28-11-2023 21:02,0,#AB9EFF,3,3,65000
NSE,SIEMENS,806401,3400,3646.5,3190,3915,3474.1,4388.34,5,20,3620,20,68000,72930,4930,7.25,10.6,Buy,3260,0,success,28-11-2023 21:02,0,#AB9EFF,3,2,65000
NSE,SAREGAMA,1252353,313,363,292,440,292,440,5,20,390,206,64478,74778,10300,15.97,13.22,Buy,315,0,success,28-11-2023 21:02,0,#AB9EFF,2,2,65000
NSE,GHCL,288513,479,540.25,460,682,460,682,10,20,637,135,64665,72933.75,8268.75,12.79,11.15,Buy,480,0,success,28-11-2023 21:02,0,#AB9EFF,2,2,65000
NSE,ASHOKLEY,54273,179.6,178.95,174,191,174,191,1,10,189,362,65015.2,64779.9,-235.3,-0.36,-2.77,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,0.5,2,65000
NSE,DRREDDY,225537,5755.87,5675.8,5190,6400,5526.58,6400,4,10,189,11,63314.57,62433.8,-880.77,-1.39,-2.63,Holding,0,0,success,28-11-2023 21:02,0,#E7A8B2,2,3,65000
NSE,HINDALCO,348929,466,515.6,445,620,502.31,620,3,10,508,138,64308,71152.8,6844.8,10.64,8.84,Buy,470,0,success,28-11-2023 21:02,0,#AB9EFF,1,2,65000
NSE,AWL,2076161,372,348.45,309,492,309,492,8,15,420,173,64356,60281.85,-4074.15,-6.33,7.62,Buy,293,375,success,28-11-2023 21:02,0,#AB9EFF,1,4,65000
NSE,TORNTPOWER,3529217,870,844.05,748,1000,748,1000,11,20,950,74,64380,62459.7,-1920.3,-2.98,4.38,Buy,786,881,success,28-11-2023 21:02,0,#AB9EFF,2,3,65000
